日期,时段序号,自然日时段,电价(元/kWh),预测负载功率(kW),预测光伏功率(kW),实际负载功率(kW),实际光伏功率(kW),计划购电量(kWh),计划充电量(kWh),计划放电量(kWh),紧急购电量(kWh),剩余电量(kWh),期初储电量(kWh),期末储电量(kWh)
2025-02-01,1,00:00-00:10,0.4276,2665.923139400781,0.0,2543.76,0.0,472.14892323346345,0.0,0.0,0.0,48.18892323346341,10200.0,10200.0
2025-02-01,2,00:10-00:20,0.4248,2609.3419306540986,0.0,2532.1822,0.0,485.7043149673964,0.0,0.0,0.0,63.673948300729705,10200.0,10200.0
2025-02-01,3,00:20-00:30,0.4245,2626.26790914251,0.0,2492.4439,0.0,490.8481626348626,0.0,0.0,0.0,75.4408459681959,10200.0,10200.0
2025-02-01,4,00:30-00:40,0.4269,2710.9402883480607,0.0,2464.3,0.0,463.54957911585853,0.0,0.0,0.0,52.83291244919184,10200.0,10200.0
2025-02-01,5,00:40-00:50,0.4272,2699.726530340648,0.0,2581.7688,0.0,496.9060411850411,0.0,0.0,0.0,66.61124118504114,10200.0,10200.0
2025-02-01,6,00:50-01:00,0.4271,2778.433692578621,0.0,2546.4635,0.0,525.082158867902,0.0,0.0,0.0,100.67157553456866,10200.0,10200.0
2025-02-01,7,01:00-01:10,0.4285,2909.8655997876454,0.0,2436.31,0.0,575.324332116387,0.0,0.0,0.0,169.27266544972042,10200.0,10200.0
2025-02-01,8,01:10-01:20,0.4311,2847.3526070551225,0.0,2620.5011,0.0,501.3049029758511,0.0,0.0,0.0,64.5547196425178,10200.0,10200.0
2025-02-01,9,01:20-01:30,0.4302,2752.3976480213714,0.0,2710.7861,0.0,497.6981695136377,0.0,0.0,0.0,45.900486180304426,10200.0,10200.0
2025-02-01,10,01:30-01:40,0.4279,2759.673686629692,0.0,2676.48,0.0,471.3292255493932,0.0,0.0,0.0,25.249225549393202,10200.0,10200.0
