decision_date,interval_start,price_yuan_per_kwh,load_forecast_kw,pv_forecast_kw,actual_load_kw,actual_pv_kw,purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,initial_energy_kwh,final_energy_kwh
2025-01-01,2025-01-01T00:10:00,0.4248,3439.8466,0.0,3529.7296,0.0,1406.6410999999998,833.3333333333333,0.0,14.98050000000012,0.0,6000.0,6750.0
2025-01-01,2025-01-01T00:20:00,0.4245,3437.9792,0.0,3609.5287,0.0,1406.3298666666665,833.3333333333333,0.0,28.591583333333347,0.0,6750.0,7500.0
2025-01-01,2025-01-01T00:30:00,0.4269,3444.3031,0.0,3726.56,0.0,1407.38385,833.3333333333333,0.0,47.042816666666795,0.0,7500.0,8250.0
2025-01-01,2025-01-01T00:40:00,0.4272,3454.4437,0.0,3510.6311,0.0,1409.07395,833.3333333333333,0.0,9.364566666666633,0.0,8250.0,9000.0
2025-01-01,2025-01-01T00:50:00,0.4271,3458.8273,0.0,3502.5625,0.0,1409.8045499999998,833.3333333333333,0.0,7.289200000000164,0.0,9000.0,9750.0
2025-01-01,2025-01-01T01:00:00,0.4285,3459.8401,0.0,3787.01,0.0,576.6400166666666,0.0,0.0,54.5283166666668,0.0,9750.0,9750.0
2025-01-01,2025-01-01T01:10:00,0.4311,3467.1582,0.0,3900.3205,0.0,577.8597,0.0,0.0,72.19371666666666,0.0,9750.0,9750.0
2025-01-01,2025-01-01T01:20:00,0.4302,3467.9632,0.0,3916.8376,0.0,577.9938666666667,0.0,0.0,74.81239999999991,0.0,9750.0,9750.0
2025-01-01,2025-01-01T01:30:00,0.4279,3466.9683,0.0,3817.28,0.0,911.1613833333333,333.3333333333333,0.0,58.38528333333329,0.0,9750.0,10050.0
2025-01-01,2025-01-01T01:40:00,0.4312,3482.4927,0.0,3533.0136,0.0,580.41545,0.0,0.0,8.420150000000035,0.0,10050.0,10050.0
2025-01-01,2025-01-01T01:50:00,0.4333,3495.0841,0.0,3694.6613,0.0,582.5140166666666,0.0,0.0,33.262866666666696,0.0,10050.0,10050.0
2025-01-01,2025-01-01T02:00:00,0.4311,3498.4443,0.0,4064.73,0.0,583.0740499999999,0.0,0.0,94.3809500000001,0.0,10050.0,10050.0
2025-01-01,2025-01-01T02:10:00,0.4293,3505.2295,0.0,3810.671,0.0,584.2049166666666,0.0,0.0,50.90691666666669,0.0,10050.0,10050.0
2025-01-01,2025-01-01T02:20:00,0.4324,3512.6387,0.0,3844.9495,0.0,585.4397833333333,0.0,0.0,55.38513333333344,0.0,10050.0,10050.0
2025-01-01,2025-01-01T02:30:00,0.4367,3516.8685,0.0,4234.62,0.0,586.1447499999999,0.0,0.0,119.62525000000005,0.0,10050.0,10050.0
2025-01-01,2025-01-01T02:40:00,0.4348,3517.9246,0.0,4109.9755,0.0,586.3207666666666,0.0,0.0,98.67515000000003,0.0,10050.0,10050.0
2025-01-01,2025-01-01T02:50:00,0.4335,3518.5518,0.0,3996.8945,0.0,586.4253,0.0,0.0,79.72378333333336,0.0,10050.0,10050.0
2025-01-01,2025-01-01T03:00:00,0.4357,3521.0976,0.0,4102.19,0.0,586.8496,0.0,0.0,96.84873333333326,0.0,10050.0,10050.0
2025-01-01,2025-01-01T03:10:00,0.4374,3526.9261,0.0,4086.0577,0.0,587.8210166666667,0.0,0.0,93.18859999999995,0.0,10050.0,10050.0
2025-01-01,2025-01-01T03:20:00,0.4371,3537.2854,0.0,4133.7626,0.0,589.5475666666666,0.0,0.0,99.41286666666667,0.0,10050.0,10050.0
2025-01-01,2025-01-01T03:30:00,0.4356,3544.8808,0.0,4179.18,0.0,590.8134666666666,0.0,0.0,105.71653333333347,0.0,10050.0,10050.0
2025-01-01,2025-01-01T03:40:00,0.4353,3541.2787,0.0,3953.3711,0.0,590.2131166666666,0.0,0.0,68.68206666666674,0.0,10050.0,10050.0
2025-01-01,2025-01-01T03:50:00,0.436,3546.3976,0.0,3910.7496,0.0,591.0662666666666,0.0,0.0,60.725333333333424,0.0,10050.0,10050.0
2025-01-01,2025-01-01T04:00:00,0.4378,3560.207,0.0,4099.31,0.0,593.3678333333332,0.0,0.0,89.85050000000012,0.0,10050.0,10050.0
2025-01-01,2025-01-01T04:10:00,0.4401,3561.9581,0.0,4123.8623,0.0,593.6596833333333,0.0,0.0,93.65070000000003,0.0,10050.0,10050.0
2025-01-01,2025-01-01T04:20:00,0.4389,3556.7183,0.0,4169.0068,0.0,592.7863833333333,0.0,0.0,102.04808333333335,0.0,10050.0,10050.0
2025-01-01,2025-01-01T04:30:00,0.4364,3560.0272,0.0,4260.24,0.0,593.3378666666666,0.0,0.0,116.70213333333334,0.0,10050.0,10050.0
2025-01-01,2025-01-01T04:40:00,0.4393,3580.654,0.5994,4217.2222,0.0,596.6757666666666,0.0,0.0,106.19460000000004,0.0,10050.0,10050.0
2025-01-01,2025-01-01T04:50:00,0.4422,3586.916,0.2345,4261.857,0.0,597.78025,0.0,0.0,112.52924999999993,0.0,10050.0,10050.0
2025-01-01,2025-01-01T05:00:00,0.4395,3571.2635,0.2885,4341.9,0.0,595.1624999999999,0.0,0.0,128.48750000000007,0.0,10050.0,10050.0
2025-01-01,2025-01-01T05:10:00,0.4333,3562.3171,18.6781,4208.2208,0.0021,590.6065,0.0,0.0,110.76328333333336,0.0,10050.0,10050.0
2025-01-01,2025-01-01T05:20:00,0.4439,3591.3809,54.4698,4302.1233,0.0,589.4851833333333,0.0,0.0,127.53536666666673,0.0,10050.0,10050.0
2025-01-01,2025-01-01T05:30:00,0.4301,3579.7045,108.9718,4456.59,0.0,578.4554499999999,0.0,0.0,164.30955000000006,0.0,10050.0,10050.0
2025-01-01,2025-01-01T05:40:00,0.3713,3486.119,184.1603,4148.637,0.0299,1383.659783333333,833.3333333333333,0.0,141.10806666666682,0.0,10050.0,10800.0
2025-01-01,2025-01-01T05:50:00,0.5708,3823.8994,277.0582,4498.1333,0.0,591.1401999999999,0.0,-0.0,158.54868333333343,0.0,10800.0,10800.0
