case,mode,cost,emergency_kwh,cost_change_from_formal,final_energy,scenario_count,seed
fixed_m0,2,15585042.16930677,222744.262544967,3361.282371237874,10050.0,30,20260912
fixed_m0,3,15258886.931729123,170880.54029424943,0.0,10042.200317270988,30,20260912
fixed_tariff,2,14715290.650415003,235957.44226238492,-866390.2365205288,10050.0,30,20260912
fixed_tariff,3,14407766.921546042,179920.9253703989,-851120.010183081,10052.79198166011,30,20260912
perfect_price,2,15453245.356244747,234705.769709321,-128435.5306907855,10050.0,30,20260912
perfect_price,3,15132940.03412696,179161.31383076895,-125946.89760216326,10049.920440091824,30,20260912
seed_20260913,2,15612795.2933945,232019.56205583818,31114.406458968297,10050.0,30,20260913
seed_20260913,3,15287526.127128843,176551.65528213547,28639.19539972022,10050.0,30,20260913
seed_20260914,2,15605509.265427956,230723.28111858945,23828.378492424265,10050.0,30,20260914
seed_20260914,3,15271298.346762944,174651.1699559732,12411.415033821017,10050.0,30,20260914
scenarios_50,2,15537731.744416393,217985.6637552607,-43949.14251913875,10050.0,50,20260912
scenarios_50,3,15209958.672318254,166105.6388731558,-48928.25941086933,10044.235992969108,50,20260912
scenarios_100,2,15528797.563178714,213289.65656352643,-52883.32375681773,10050.0,100,20260912
scenarios_100,3,15197195.295940708,161516.46902749664,-61691.63578841463,10050.0,100,20260912
