日期,时段,零点计划购电量 kWh,最终购电量 kWh
2025-03-20,10:00-10:10,0.0,0.0
2025-03-20,12:00-12:10,630.2856071905428,570.6429676010977
2025-03-20,14:00-14:10,0.0,0.0
2025-03-20,16:00-16:10,539.8515163686125,539.8515163686125
2025-03-20,18:00-18:10,739.8847866497994,739.8847866497994
2025-03-20,20:00-20:10,0.0,0.0
2025-06-21,10:00-10:10,0.0,0.0
2025-06-21,12:00-12:10,0.0,0.0
2025-06-21,14:00-14:10,0.0,0.0
2025-06-21,16:00-16:10,190.14425778140026,190.14425778140026
2025-06-21,18:00-18:10,454.1209097160305,470.6369547203194
2025-06-21,20:00-20:10,0.0,0.0
2025-09-23,10:00-10:10,0.0,0.0
2025-09-23,12:00-12:10,485.6959394309499,427.90374735901287
2025-09-23,14:00-14:10,0.0,0.0
2025-09-23,16:00-16:10,461.6442981779429,461.6442981779429
2025-09-23,18:00-18:10,0.0,0.0
2025-09-23,20:00-20:10,798.2364145025753,798.2364145025753
2025-12-21,10:00-10:10,0.0,0.0
2025-12-21,12:00-12:10,1001.1531282008142,969.0425980194088
2025-12-21,14:00-14:10,0.0,0.0
2025-12-21,16:00-16:10,820.9672601754922,820.9672601754922
2025-12-21,18:00-18:10,770.9956183007511,770.9956183007511
2025-12-21,20:00-20:10,0.0,0.0
