case,mode,cost,emergency_kwh,cost_change_from_formal,final_energy,scenario_count,seed
fixed_m0,2,15585042.16930677,222744.262544967,0.0,10050.0,30,20260912
fixed_m0,3,15253368.228666153,170494.2860518464,0.0,10041.994996638567,30,20260912
fixed_tariff,2,14715290.650415003,235957.44226238492,-869751.5188917667,10050.0,30,20260912
fixed_tariff,3,14405218.89708978,179941.2724925924,-848149.3315763734,10052.79198166011,30,20260912
perfect_price,2,15453245.356244747,234705.769709321,-131796.81306202337,10050.0,30,20260912
perfect_price,3,15128506.516134575,178765.47492676828,-124861.7125315778,10051.065337918955,30,20260912
seed_20260913,2,15615281.983174475,230582.8553815753,30239.813867704943,10050.0,30,20260913
seed_20260913,3,15279732.088557735,175379.57088376593,26363.85989158228,10047.818016644564,30,20260913
seed_20260914,2,15605509.265427956,230723.28111858945,20467.09612118639,10050.0,30,20260914
seed_20260914,3,15265690.21005185,173415.16188225575,12321.98138569668,10050.0,30,20260914
scenarios_50,2,15537731.744416393,217985.6637552607,-47310.42489037663,10050.0,50,20260912
scenarios_50,3,15204394.13807877,165540.55864391994,-48974.090587383136,10048.789606345013,50,20260912
scenarios_100,2,15531507.27392114,212204.37926287935,-53534.89538563043,10050.0,100,20260912
scenarios_100,3,15196629.975081617,161508.15842623851,-56738.25358453579,10049.325857017557,100,20260912
